Location,Name,Description,Latitude,Longitude,Altitude,Map
"Anniversary Mine Road, Overton, NV 89040, USA",Lake Mead RA - NICE,"Nice place outside the Lake Mead Recreation Area between the Valley of Fire and Las Vegas on a 4x4 route slightly away from the main road. Very quiet, aircraft can be heard sometimes.",36.201047,-114.685437,517.0
"1701-1749 11th Ave, Seattle, WA 98122, USA",Cal Anderson Park ,"We rolled into Capitol Hill, Seattle thinking that it would be easy to poach a spot on the street, only to find that the streets were all over crowded with bumper to bumper parking. We did find the Gold mine though - Cal Anderson Park, just off of Broadway and Pike Street - One of the places where Grunge Rock started. Cal Anderson park was nominated for some kind of ""wholesome award"" and was indeed a fantastic place to park for the night (in small Camper Van style -Not a place for big rigs). The pay parking ends at 20:00 and then it is free until 08:00 weekdays and weekends. It is located right beside the park itself which has a well lit Soccer field (lights out around 23:00), Tennis courts, basketball, a walking area, and is well used by Seattle-ites. There are some fantastic pubs like The Unicorn, or Nuemo's (Nirvana played there) a couple blocks away on Pike Street. The parking spots are Back in- Horizontal spots, so again- No Big rigs (Sorry). ",47.61649,-122.31823,0.0
"Robson Ranch Rd, Aguila, AZ 85320, USA",Near Robsons Mining World,"ADMIN NOTE: Permits needed for overnight stay.

-------------------------

A desert camping location that is tucked back in the trees. Dry camp.  The nearby attraction has a restaurant with limited hours. Interesting glimpse into mining life. ",34.01193,-113.12459,682.8662109375
"Cottonwood Springs Road, Indio, CA 92201, USA",Joshua Tree South BLM,"Free Campsites at south entrance of the NP. The National Park has potable water and dump for $5.
Its BLM Land....so no problem for overnight camp.....official overflow camp for Joshua Tree Park
",33.67453,-115.80265,0.0
"Cascade Rd, Joshua Tree, CA 92252, USA",Joshua Tree North BLM,"Big open flat area in a dry lake bed surrounded by mountains

4G 3 bars with Verizon. ",34.17293,-116.22466,689.0
"Sands / Old Hwy 89, Orderville, UT 84758, USA",Mount Carmel,"Amazing spot on top of the hill, unlike the spots down the river its perfect cell service here for any provider. no amenities. lots of spots and campers here. great sunset, beautiful views. can get windy at night if camping on top",37.207109,-112.675489,1679.293701171875
"Baker Hot Springs Rd, Utah, USA",Baker Hot Springs,Three man-made pools approximately 2 meters by 1 meter. Fed by natural artesian springs one hot one cold. You control the temperature by directing the separate flows. No services. Easy road but expect it to be bumpy but passable by small car or large truck. Looks like it could be treacherous in the rain.,39.610509,-112.730474,1404.5635986328125
"Forest 525 Rd, Sedona, AZ 86336, USA",Windmill Designated Camping Area,"This is one of several designated camping areas in the Red Rock Ranger District. 

Camping is not permitted outside these areas.

No campfires permitted.",34.845779,-111.913644,1250.0
"33993 US-160, Mancos, CO 81328, USA",Mesa Verde NP ,"It is only closed seasonally and close to the entrance of Mesa Verde National Park, on a dirt road, more than one spot for free with fire ring. In the park by the store is a laundrimat with coins, showers for free and fast wifi.
From Hwy 160, get off at MC RD 34, then a few hundred meters, turn right at the first gravel road. Good secluded sites, a bit noisy from highway but it gets quiet after 9 pm. Some sites showed signs of overuse and garbage was left. One site looked like it had been used extensively by ""travelers"", with garbage bags left at the site. Lots of coyotes around. Note that showers and laundromat inside the NP are closed for the winter.

3 bars Verizon signal with LTE.
No bars AT&T",37.35949,-108.42285,2054.2
"Kolob Terrace Rd, Virgin, UT 84779, USA",Kolob Terrace Rd near Zion NP,"About 20km out of Springdale (south entrance of Zion NP), you turn right in the Kolob Terrace Rd (paved road). You follow approximately 2-3 km and you turn right. If its rainy or its not totally dry, it will be slippery and you probably need 4x4 and high clearance due to the soft red sand. There are plenty of spots by the river. We were not alone (two caravans were permanently settled). 

I had no bars on Sprint, my friend had a few bars on Cricket/AT&T",37.220962,-113.161353,1095.44482421875
"Forest Service Rd 618, Rimrock, AZ 86335, USA",National Forest Road 618 Loop,"Gravel loop. Quiet. Pack in, pack out.
Rock fire rings.",34.683827,-111.726683,1165.800048828125
